Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,HomeTeamElo,AwayTeamElo,EloDifference,Home_AvgGoalsScored,Home_AvgGoalsConceded,Home_Wins,Home_Draws,Home_Losses,Away_AvgGoalsScored,Away_AvgGoalsConceded,Away_Wins,Away_Draws,Away_Losses,HTH_HomeWins,HTH_AwayWins,HTH_Draws,HTH_AvgHomeGoals,HTH_AvgAwayGoals
01/09/2022,19:00,AZ Alkmaar,Nijmegen,1,1,D,1.47,4.46,6.46,1.63,2.25,1541.2652672139698,1502.4449261031689,38.82034111080088,2.0,0.6666666666666666,3,0,0,1.6666666666666667,1.0,1,1,1,0,0,0,0.0,0.0
02/09/2022,19:00,For Sittard,Utrecht,3,4,A,3.07,3.72,2.17,1.57,2.36,1430.529406138304,1485.1132887119952,-54.5838825736912,1.0,3.0,0,0,4,1.0,1.75,0,2,2,0,0,0,0.0,0.0
03/09/2022,15:30,Ajax,Cambuur,4,0,H,1.1,10.66,21.4,1.17,4.72,1567.0378519230155,1474.2177243515896,92.82012757142593,3.0,0.75,4,0,0,1.0,1.0,1,1,2,0,0,0,0.0,0.0
03/09/2022,17:45,Twente,PSV Eindhoven,2,1,H,3.75,3.83,1.89,1.54,2.44,1543.1775423618437,1540.5923922344932,2.5851501273505164,2.0,0.25,3,0,1,5.5,1.25,4,0,0,0,0,0,0.0,0.0
03/09/2022,19:00,Sparta Rotterdam,Volendam,4,0,H,1.6,4.23,5.1,1.62,2.26,1501.903749253732,1473.0279808037835,28.87576844994851,0.75,1.0,1,1,2,1.25,3.25,1,1,2,0,0,0,0.0,0.0
03/09/2022,20:00,Go Ahead Eagles,Feyenoord,3,4,A,7.41,4.99,1.39,1.53,2.44,1431.7844644469228,1553.3227675295343,-121.53830308261149,0.5,2.25,0,0,4,2.5,0.5,3,1,0,0,0,0,0.0,0.0
04/09/2022,11:15,Waalwijk,Excelsior,5,2,H,1.7,4.13,4.47,1.56,2.39,1499.456553228682,1482.9868438510794,16.469709377602612,1.25,1.5,0,3,1,1.5,2.75,2,0,2,0,0,0,0.0,0.0
04/09/2022,13:30,Heerenveen,Nijmegen,0,0,D,1.95,3.59,3.77,1.79,2.0,1525.8688851516993,1503.5000267663993,22.368858385299973,1.5,0.25,2,2,0,1.5,1.0,1,2,1,0,0,0,0.0,0.0
04/09/2022,13:30,FC Emmen,AZ Alkmaar,0,3,A,3.8,3.69,1.92,1.68,2.15,1474.7281607705645,1553.9590989144945,-79.23093814392996,1.25,2.75,1,1,2,1.75,0.75,3,1,0,0,0,0,0.0,0.0
04/09/2022,15:45,Groningen,Vitesse,0,1,A,2.39,3.51,2.82,1.71,2.1,1483.2791449194128,1475.5141186424544,7.7650262769584515,1.25,2.25,1,2,1,1.25,3.5,0,1,3,0,0,0,0.0,0.0
09/09/2022,19:00,Volendam,Go Ahead Eagles,2,3,A,2.53,3.6,2.61,1.59,2.34,1456.2556721922633,1448.556773058443,7.698899133820305,1.0,3.4,1,1,3,1.0,2.6,0,0,5,0,0,0,0.0,0.0
10/09/2022,15:30,Nijmegen,For Sittard,1,1,D,1.88,3.71,3.91,1.74,2.08,1500.395151253089,1433.6342816516144,66.7608696014745,1.2,0.8,1,3,1,1.4,3.2,0,0,5,0,0,0,0.0,0.0
10/09/2022,17:45,Ajax,Heerenveen,5,0,H,1.19,7.36,12.72,1.29,3.48,1580.2687170239683,1512.6380200507465,67.6306969732218,3.2,0.6,5,0,0,1.2,0.2,2,3,0,0,0,0,0.0,0.0
