HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5
Ath Bilbao,Sociedad,2,0,H,2.33,3.07,3.45,2.45,1.56
Osasuna,Barcelona,2,2,D,9.52,4.86,1.36,1.73,2.11
Getafe,Alaves,1,1,D,1.77,3.34,5.55,2.74,1.45
Levante,Valladolid,2,0,H,2.01,3.56,3.74,1.85,1.96
Betis,Leganes,2,1,H,1.95,3.24,4.49,2.42,1.56
Valencia,Mallorca,2,0,H,1.41,4.63,8.14,1.75,2.09
Ath Madrid,Eibar,3,2,H,1.42,4.16,9.92,2.27,1.64
Espanol,Granada,0,3,A,2.1,3.2,3.92,2.29,1.63
Villarreal,Real Madrid,2,2,D,3.71,4.14,1.88,1.41,2.88
Mallorca,Ath Bilbao,0,0,D,3.65,3.02,2.28,2.69,1.46
Real Madrid,Levante,3,2,H,1.25,6.59,10.54,1.31,3.44
Leganes,Villarreal,0,3,A,2.51,3.15,3.04,2.33,1.61
Sociedad,Ath Madrid,2,0,H,3.73,3.15,2.17,2.46,1.55
Barcelona,Valencia,5,2,H,1.47,4.59,6.69,1.53,2.47
Eibar,Espanol,1,2,A,1.97,3.34,4.21,2.2,1.68
Alaves,Sevilla,0,1,A,4.23,3.37,1.95,2.27,1.64
Celta,Granada,0,2,A,1.84,3.64,4.4,1.99,1.83
Valladolid,Osasuna,1,1,D,2.23,3.05,3.73,2.53,1.52
Betis,Getafe,1,1,D,2.22,3.22,3.51,2.38,1.58
Osasuna,Betis,0,0,D,2.34,3.37,3.12,1.88,1.94
Villarreal,Valladolid,2,0,H,1.59,4.19,5.61,1.8,2.03
Levante,Eibar,0,0,D,2.26,3.51,3.12,1.76,2.08
Ath Madrid,Celta,0,0,D,1.42,4.35,8.61,2.0,1.82
Granada,Barcelona,2,0,H,9.24,5.44,1.32,1.55,2.46
Getafe,Mallorca,4,2,H,1.85,3.23,5.06,2.67,1.47
Espanol,Sociedad,1,3,A,2.94,3.25,2.5,2.32,1.61
Valencia,Leganes,1,1,D,1.59,3.9,6.16,2.16,1.7
Ath Bilbao,Alaves,2,0,H,1.65,3.61,6.16,2.53,1.52
Sevilla,Real Madrid,0,1,A,2.61,3.77,2.5,1.52,2.51
Valladolid,Granada,1,1,D,2.36,3.17,3.27,2.4,1.58
Betis,Levante,3,1,H,1.97,3.67,3.77,1.63,2.29
Barcelona,Villarreal,2,1,H,1.31,6.06,8.84,1.31,3.44
Leganes,Ath Bilbao,1,1,D,2.86,2.94,2.79,2.98,1.39
Mallorca,Ath Madrid,0,2,A,6.33,3.65,1.63,2.47,1.54
Valencia,Getafe,3,3,D,1.93,3.31,4.46,2.35,1.6
Real Madrid,Osasuna,2,0,H,1.24,6.45,11.19,1.43,2.79
Eibar,Sevilla,3,2,H,3.25,3.34,2.27,2.02,1.81
Celta,Espanol,1,1,D,1.85,3.64,4.33,2.05,1.78
Sociedad,Alaves,3,0,H,1.65,3.83,5.55,2.26,1.65
Villarreal,Betis,5,1,H,1.87,3.82,4.04,1.64,2.27
Ath Bilbao,Valencia,0,1,A,2.16,3.21,3.69,2.45,1.56
Getafe,Barcelona,0,2,A,4.38,3.44,1.89,1.96,1.86
Granada,Leganes,1,0,H,2.36,3.07,3.35,2.76,1.44
Ath Madrid,Real Madrid,0,0,D,2.41,3.33,3.0,1.98,1.84
Espanol,Valladolid,0,2,A,2.03,3.26,4.08,2.33,1.61
Eibar,Celta,2,0,H,2.36,3.3,3.13,2.03,1.8
Alaves,Mallorca,2,0,H,2.25,3.13,3.52,2.59,1.5
Levante,Osasuna,1,1,D,2.15,3.45,3.41,1.9,1.91
Sevilla,Sociedad,3,2,H,1.87,3.56,4.33,1.87,1.94
Betis,Eibar,1,1,D,2.02,3.62,3.68,1.84,1.99
Leganes,Levante,1,2,A,1.98,3.44,4.0,2.1,1.74
Real Madrid,Granada,4,2,H,1.3,5.78,9.42,1.45,2.73
Valencia,Alaves,2,1,H,1.52,4.1,6.81,2.11,1.74
Osasuna,Villarreal,2,1,H,2.99,3.28,2.45,2.05,1.78
Mallorca,Espanol,2,0,H,2.49,3.13,3.06,2.41,1.57
Celta,Ath Bilbao,1,0,H,2.7,3.04,2.87,2.5,1.53
Valladolid,Ath Madrid,0,0,D,5.36,3.52,1.74,2.32,1.61
Sociedad,Getafe,1,2,A,1.9,3.36,4.46,2.44,1.56
Barcelona,Sevilla,4,0,H,1.51,4.46,6.19,1.55,2.44
Granada,Osasuna,1,0,H,2.4,3.01,3.38,2.62,1.48
Eibar,Barcelona,0,3,A,5.8,4.5,1.53,1.54,2.45
Ath Madrid,Valencia,1,1,D,1.61,3.87,5.95,2.09,1.74
Getafe,Leganes,2,0,H,1.84,3.21,5.17,2.85,1.42
Mallorca,Real Madrid,1,0,H,6.26,4.34,1.52,1.6,2.33
Alaves,Celta,2,0,H,2.96,3.0,2.65,2.66,1.47
Sociedad,Betis,3,1,H,1.76,3.88,4.5,1.65,2.25
Espanol,Villarreal,0,1,A,3.04,3.4,2.36,1.97,1.85
Ath Bilbao,Valladolid,1,1,D,1.69,3.46,6.03,2.57,1.5
Sevilla,Levante,1,0,H,1.33,5.53,8.64,1.44,2.76
Villarreal,Alaves,4,1,H,1.52,4.25,6.58,1.88,1.93
Leganes,Mallorca,1,0,H,1.85,3.39,4.79,2.57,1.51
Valladolid,Eibar,2,0,H,2.42,3.12,3.17,2.43,1.56
Ath Madrid,Ath Bilbao,2,0,H,1.74,3.37,5.73,2.7,1.46
Celta,Sociedad,0,1,A,2.84,3.29,2.54,1.95,1.86
Granada,Betis,1,0,H,2.5,3.33,2.87,2.04,1.79
Levante,Espanol,0,1,A,2.19,3.4,3.38,1.9,1.91
Sevilla,Getafe,2,0,H,1.73,3.62,5.22,2.2,1.68
Osasuna,Valencia,3,1,H,2.78,3.17,2.68,2.22,1.66
Alaves,Ath Madrid,1,1,D,6.12,3.45,1.69,2.71,1.46
Barcelona,Valladolid,5,1,H,1.13,9.03,19.44,1.34,3.22
Sociedad,Levante,1,2,A,1.5,4.55,6.21,1.51,2.53
Valencia,Sevilla,1,1,D,2.84,3.38,2.5,1.95,1.86
Ath Bilbao,Espanol,3,0,H,1.91,3.19,4.76,2.66,1.47
Betis,Celta,2,1,H,2.07,3.47,3.63,1.88,1.93
Real Madrid,Leganes,5,0,H,1.27,5.87,11.5,1.58,2.38
Eibar,Villarreal,2,1,H,2.73,3.42,2.56,1.85,1.96
Mallorca,Osasuna,2,2,D,2.53,3.01,3.1,2.59,1.49
Getafe,Granada,3,1,H,1.92,3.25,4.57,2.62,1.49
Espanol,Valencia,1,2,A,2.77,3.21,2.68,2.14,1.72
Levante,Barcelona,3,1,H,8.36,5.92,1.32,1.37,3.06
Sevilla,Ath Madrid,1,1,D,2.39,3.14,3.24,2.49,1.54
Real Madrid,Betis,0,0,D,1.28,6.27,9.58,1.34,3.24
Valladolid,Mallorca,3,0,H,2.07,3.29,3.86,2.47,1.54
Villarreal,Ath Bilbao,0,0,D,1.88,3.5,4.36,2.07,1.76
Osasuna,Alaves,4,2,H,2.08,3.04,4.25,2.65,1.47
Celta,Getafe,0,1,A,2.57,3.05,3.02,2.41,1.56
Leganes,Eibar,1,2,A,2.32,3.17,3.32,2.51,1.52
Granada,Sociedad,1,2,A,3.05,3.17,2.47,2.36,1.59
Sociedad,Leganes,1,1,D,1.84,3.34,4.95,2.29,1.63
Alaves,Valladolid,3,0,H,2.4,3.02,3.34,2.65,1.47
Valencia,Granada,2,0,H,1.67,3.63,5.87,2.27,1.64
Eibar,Real Madrid,0,4,A,5.48,4.13,1.6,1.62,2.29
Barcelona,Celta,4,1,H,1.21,6.93,13.22,1.41,2.86
Mallorca,Villarreal,3,1,H,3.35,3.45,2.17,1.93,1.89
Ath Bilbao,Levante,2,1,H,1.69,3.77,5.18,1.94,1.88
Ath Madrid,Espanol,3,1,H,1.46,4.02,8.64,2.38,1.58
Getafe,Osasuna,0,0,D,1.95,3.26,4.35,2.52,1.52
Betis,Sevilla,1,2,A,3.4,3.44,2.15,1.8,2.02
Levante,Mallorca,2,1,H,1.77,3.77,4.64,1.84,1.98
Leganes,Barcelona,1,2,A,6.98,4.46,1.47,1.72,2.11
Betis,Valencia,2,1,H,2.41,3.4,2.93,1.78,2.04
Granada,Ath Madrid,1,1,D,4.89,3.1,1.92,2.76,1.44
Real Madrid,Sociedad,3,1,H,1.37,5.4,7.42,1.4,2.91
Espanol,Getafe,1,1,D,2.77,2.94,2.85,2.74,1.45
Osasuna,Ath Bilbao,1,2,A,2.61,2.98,3.01,2.58,1.5
Eibar,Alaves,0,2,A,1.85,3.4,4.65,2.14,1.71
Villarreal,Celta,1,3,A,1.77,3.87,4.41,1.73,2.11
Valladolid,Sevilla,0,1,A,4.14,3.59,1.89,2.02,1.8
Celta,Valladolid,0,0,D,1.74,3.62,5.13,2.18,1.69
Alaves,Real Madrid,1,2,A,6.03,4.44,1.52,1.64,2.24
Sociedad,Eibar,4,1,H,1.71,3.84,4.93,1.9,1.91
Mallorca,Betis,1,2,A,2.66,3.33,2.68,1.98,1.83
Valencia,Villarreal,2,1,H,2.38,3.43,2.96,1.77,2.06
Sevilla,Leganes,1,0,H,1.53,4.01,6.86,2.13,1.72
Ath Bilbao,Granada,2,0,H,1.71,3.42,5.85,2.59,1.5
Espanol,Osasuna,2,4,A,2.21,3.23,3.49,2.33,1.6
Getafe,Levante,4,0,H,1.68,3.77,5.32,2.02,1.8
Ath Madrid,Barcelona,0,1,A,2.79,3.24,2.61,2.12,1.73
Villarreal,Ath Madrid,0,0,D,3.52,3.29,2.19,2.21,1.67
Real Madrid,Espanol,2,0,H,1.2,7.06,14.13,1.42,2.81
Granada,Alaves,3,0,H,2.24,3.06,3.65,2.59,1.5
Levante,Valencia,2,4,A,3.05,3.76,2.2,1.62,2.3
Barcelona,Mallorca,5,2,H,1.12,9.16,21.61,1.34,3.21
Eibar,Getafe,0,1,A,2.77,2.98,2.83,2.58,1.49
Betis,Ath Bilbao,3,2,H,2.33,3.24,3.21,2.18,1.68
Valladolid,Sociedad,0,0,D,3.27,3.22,2.31,2.3,1.62
Leganes,Celta,3,2,H,2.35,3.09,3.34,2.59,1.5
Osasuna,Sevilla,1,1,D,3.44,3.38,2.16,1.97,1.84
Alaves,Leganes,1,1,D,2.53,2.95,3.2,2.74,1.44
Granada,Levante,1,2,A,2.01,3.55,3.73,1.92,1.89
Sociedad,Barcelona,2,2,D,4.76,4.24,1.67,1.53,2.49
Ath Bilbao,Eibar,0,0,D,1.7,3.58,5.52,2.31,1.61
Ath Madrid,Osasuna,2,0,H,1.4,4.27,10.06,2.18,1.68
Getafe,Valladolid,2,0,H,1.65,3.58,6.07,2.59,1.5
Celta,Mallorca,2,2,D,1.69,3.76,5.22,2.08,1.75
Espanol,Betis,2,2,D,2.57,3.36,2.76,1.95,1.85
Sevilla,Villarreal,1,2,A,1.69,4.07,4.78,1.65,2.23
Valencia,Real Madrid,1,1,D,3.75,3.91,1.9,1.57,2.39
Barcelona,Real Madrid,0,0,D,1.74,4.16,4.3,1.46,2.68
Eibar,Granada,3,0,H,2.09,3.21,3.94,2.46,1.55
Mallorca,Sevilla,0,2,A,4.95,3.89,1.7,1.89,1.92
Barcelona,Alaves,4,1,H,1.15,8.35,18.61,1.36,3.08
Villarreal,Getafe,1,0,H,2.22,3.18,3.53,2.26,1.64
Valladolid,Valencia,1,1,D,3.49,3.28,2.18,2.19,1.68
Leganes,Espanol,2,0,H,2.12,3.09,3.93,2.74,1.44
Osasuna,Sociedad,3,4,A,2.8,3.29,2.58,2.02,1.79
Betis,Ath Madrid,1,2,A,3.82,3.33,2.06,2.14,1.71
Levante,Celta,3,1,H,2.62,3.49,2.6,1.72,2.1
Real Madrid,Ath Bilbao,0,0,D,1.35,5.12,8.61,1.63,2.24
