HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5
Man United,Tottenham,2,1,H,2.69,3.47,2.61,1.8,2.03
Southampton,Norwich,2,1,H,1.78,3.99,4.35,1.59,2.37
Wolves,West Ham,2,0,H,1.77,3.73,4.74,1.89,1.93
Liverpool,Everton,5,2,H,1.39,4.99,8.28,1.58,2.38
Sheffield United,Newcastle,0,2,A,1.86,3.45,4.62,2.33,1.61
Arsenal,Brighton,1,2,A,1.61,4.23,5.41,1.54,2.5
Everton,Chelsea,3,1,H,3.52,3.8,2.02,1.69,2.18
Bournemouth,Liverpool,0,3,A,7.01,5.03,1.42,1.5,2.59
Tottenham,Burnley,5,0,H,1.41,4.82,7.98,1.59,2.35
Watford,Crystal Palace,0,0,D,2.37,3.34,3.12,2.05,1.78
Man City,Man United,1,2,A,1.31,5.67,9.9,1.49,2.63
Aston Villa,Leicester,1,4,A,4.27,3.88,1.82,1.62,2.31
Newcastle,Southampton,2,1,H,2.59,3.23,2.87,2.12,1.73
Norwich,Sheffield United,1,2,A,2.98,3.45,2.4,1.84,1.99
Brighton,Wolves,2,2,D,2.69,3.16,2.81,2.29,1.63
West Ham,Arsenal,1,3,A,3.43,4.02,1.98,1.44,2.78
Liverpool,Watford,2,0,H,1.17,7.72,16.32,1.39,3.01
Burnley,Newcastle,1,0,H,1.96,3.5,4.07,2.11,1.74
Chelsea,Bournemouth,0,1,A,1.25,6.48,11.64,1.4,2.94
Leicester,Norwich,1,1,D,1.22,6.73,13.29,1.43,2.83
Sheffield United,Aston Villa,2,0,H,1.86,3.75,4.17,1.81,2.02
Southampton,West Ham,0,1,A,1.92,3.86,3.83,1.61,2.33
Man United,Everton,1,1,D,1.78,3.71,4.76,1.8,2.03
Wolves,Tottenham,1,2,A,3.22,3.45,2.26,1.9,1.92
Arsenal,Man City,0,3,A,6.03,5.33,1.45,1.32,3.32
