Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,HomeTeamElo,AwayTeamElo,EloDifference,Home_AvgGoalsScored,Home_AvgGoalsConceded,Home_Wins,Home_Draws,Home_Losses,Away_AvgGoalsScored,Away_AvgGoalsConceded,Away_Wins,Away_Draws,Away_Losses,HTH_HomeWins,HTH_AwayWins,HTH_Draws,HTH_AvgHomeGoals,HTH_AvgAwayGoals,Unnamed: 11
2023-10-08 00:00:00,Lyon,Lorient,3,3,D,1.69,4.03,4.83,1.68,2.19,1436.42,1470.64,-34.22,0.2,1.4,0,2,3,1.8,2.8,1,1,3,0,0,0,0.0,0.0,
2023-10-20 00:00:00,Le Havre,Lens,0,0,D,4.53,3.52,1.85,2.11,1.74,1482.94,1481.96,0.98,1.0,1.2,2,1,2,0.8,1.2,2,1,2,0,0,0,0.0,0.0,
2023-10-21 00:00:00,Nice,Marseille,1,0,H,2.44,3.29,3.04,2.0,1.82,1557.56,1510.77,46.78,1.4,0.4,4,1,0,1.2,1.6,1,2,2,0,0,0,0.0,0.0,
2023-10-21 00:00:00,Paris SG,Strasbourg,3,0,H,1.23,6.61,12.0,1.44,2.77,1539.14,1482.34,56.81,2.6,1.0,3,1,1,0.8,1.4,1,1,3,0,0,0,0.0,0.0,
2023-10-22 00:00:00,Lorient,Rennes,2,1,H,3.95,3.74,1.89,1.79,2.04,1469.17,1511.04,-41.87,1.6,3.2,0,2,3,1.2,1.2,1,3,1,0,0,0,0.0,0.0,
2023-10-22 00:00:00,Nantes,Montpellier,2,0,H,2.9,3.54,2.38,1.76,2.08,1505.87,1500.64,5.23,2.0,1.6,3,1,1,1.2,1.2,1,2,2,0,0,0,0.0,0.0,
2023-10-22 00:00:00,Toulouse,Reims,1,1,D,2.91,3.48,2.42,1.83,2.0,1498.62,1513.07,-14.45,1.4,1.0,1,3,1,1.6,1.6,2,1,2,0,0,0,0.0,0.0,
2023-10-22 00:00:00,Monaco,Metz,2,1,H,1.34,5.6,8.19,1.44,2.78,1552.0,1470.67,81.33,2.2,1.2,3,1,1,0.6,1.4,1,1,3,0,0,0,0.0,0.0,
2023-10-22 00:00:00,Lyon,Clermont,1,2,A,1.79,3.95,4.32,1.73,2.13,1437.89,1434.9,2.99,0.8,2.0,0,2,3,0.6,1.2,0,2,3,0,0,0,0.0,0.0,
2023-10-22 00:00:00,Lille,Brest,1,0,H,1.8,3.66,4.65,1.95,1.87,1512.33,1539.08,-26.75,1.4,1.0,2,2,1,0.8,0.4,2,3,0,0,0,0,0.0,0.0,
2023-10-27 00:00:00,Clermont,Nice,0,1,A,4.31,3.4,1.93,2.25,1.66,1450.03,1570.55,-120.52,1.0,1.2,1,2,2,1.2,0.4,4,1,0,0,0,0,0.0,0.0,
2023-10-28 00:00:00,Lens,Nantes,4,0,H,1.58,4.26,5.7,1.76,2.08,1482.0,1520.64,-38.64,0.8,0.6,2,2,1,2.2,1.4,4,0,1,0,0,0,0.0,0.0,
