Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,HomeTeamElo,AwayTeamElo,EloDifference,Home_AvgGoalsScored,Home_AvgGoalsConceded,Home_Wins,Home_Draws,Home_Losses,Away_AvgGoalsScored,Away_AvgGoalsConceded,Away_Wins,Away_Draws,Away_Losses,HTH_HomeWins,HTH_AwayWins,HTH_Draws,HTH_AvgHomeGoals,HTH_AvgAwayGoals
2023-09-23,Man City,Nott'm Forest,2,0,H,1.15,8.55,18.11,1.41,2.94,1570.1,1498.8,71.3,2.8,0.6,5,0,0,1.4,1.4,2,1,2,0,0,0,0.0,0.0
2023-09-23,Brentford,Everton,1,3,A,1.8,3.78,4.49,1.92,1.92,1496.32,1443.88,52.44,1.6,1.2,1,3,1,0.4,1.8,0,1,4,0,0,0,0.0,0.0
2023-09-23,Burnley,Man United,0,1,A,4.31,4.16,1.75,1.61,2.36,1459.98,1486.16,-26.18,1.0,3.0,0,1,3,1.2,2.0,2,0,3,0,0,0,0.0,0.0
2023-09-24,Brighton,Bournemouth,3,1,H,1.38,5.31,7.58,1.37,3.11,1540.77,1473.68,67.1,3.0,1.4,4,0,1,0.8,1.6,0,3,2,0,0,0,0.0,0.0
2023-09-24,Chelsea,Aston Villa,0,1,A,1.91,3.85,3.87,1.7,2.2,1483.87,1515.65,-31.78,1.0,1.0,1,2,2,2.2,2.0,3,0,2,0,0,0,0.0,0.0
2023-09-24,Liverpool,West Ham,3,1,H,1.39,5.38,7.19,1.4,2.96,1555.65,1528.55,27.1,2.4,0.8,4,1,0,2.0,1.4,3,1,1,0,0,0,0.0,0.0
2023-09-24,Sheffield United,Newcastle,0,8,A,7.01,4.78,1.45,1.66,2.25,1446.03,1488.6,-42.58,1.0,1.8,0,1,4,1.6,1.4,2,0,3,0,0,0,0.0,0.0
2023-09-24,Arsenal,Tottenham,2,2,D,1.7,4.36,4.5,1.51,2.58,1554.35,1553.25,1.1,1.8,0.8,4,1,0,2.6,1.0,4,1,0,0,0,0,0.0,0.0
2023-09-30,Wolves,Man City,2,1,H,9.2,5.65,1.33,1.53,2.51,1459.23,1582.06,-122.83,1.2,2.2,1,1,3,2.6,0.6,5,0,0,0,0,0,0.0,0.0
2023-09-30,West Ham,Sheffield United,2,0,H,1.45,4.79,7.1,1.64,2.29,1514.71,1432.86,81.86,2.0,1.8,3,0,2,1.0,3.2,0,1,4,0,0,0,0.0,0.0
2023-09-30,Newcastle,Burnley,2,0,H,1.33,5.62,9.22,1.53,2.52,1501.78,1446.11,55.67,2.2,1.2,2,0,3,0.8,2.6,0,1,4,0,0,0,0.0,0.0
2023-09-30,Tottenham,Liverpool,2,1,H,2.96,4.03,2.21,1.39,3.02,1553.29,1569.48,-16.19,2.6,1.0,4,1,0,2.8,0.8,5,0,0,0,0,0,0.0,0.0
2023-09-30,Everton,Luton,1,2,A,1.61,3.94,6.06,2.02,1.82,1461.13,1444.57,16.56,1.0,1.8,1,1,3,0.6,2.2,0,1,4,0,0,0,0.0,0.0
2023-09-30,Bournemouth,Arsenal,0,4,A,5.77,4.68,1.53,1.54,2.49,1461.54,1554.3,-92.76,0.8,2.0,0,2,3,1.8,1.0,3,2,0,0,0,0,0.0,0.0
2023-09-30,Aston Villa,Brighton,6,1,H,2.56,3.92,2.55,1.43,2.84,1529.28,1552.91,-23.63,2.2,1.0,4,0,1,2.8,1.4,4,0,1,0,0,0,0.0,0.0
2023-09-30,Man United,Crystal Palace,0,1,A,1.57,4.3,5.89,1.77,2.08,1500.03,1499.48,0.55,1.2,2.0,2,0,3,1.0,1.4,1,2,2,0,0,0,0.0,0.0
2023-10-01,Nott'm Forest,Brentford,1,1,D,2.81,3.27,2.65,2.09,1.76,1486.83,1479.08,7.76,1.2,1.4,2,1,2,1.4,1.4,1,2,2,0,0,0,0.0,0.0
2023-10-02,Fulham,Chelsea,0,2,A,3.73,3.49,2.06,1.93,1.89,1501.1,1470.24,30.87,0.8,2.0,1,2,2,0.8,1.0,1,1,3,0,0,0,0.0,0.0
2023-10-03,Luton,Burnley,1,2,A,2.92,3.18,2.63,2.24,1.67,1460.28,1433.49,26.79,0.8,1.6,1,1,3,0.8,2.4,0,1,4,0,0,0,0.0,0.0
2023-10-07,Crystal Palace,Nott'm Forest,0,0,D,2.24,3.25,3.49,2.28,1.65,1514.5,1486.5,28.01,1.2,1.2,2,2,1,1.0,1.4,1,2,2,0,0,0,0.0,0.0
2023-10-07,Man United,Brentford,2,1,H,1.69,4.2,4.78,1.64,2.23,1485.01,1479.41,5.59,1.2,1.8,2,0,3,1.0,1.6,0,3,2,0,0,0,0.0,0.0
2023-10-07,Everton,Bournemouth,3,0,H,1.97,3.7,3.81,1.83,2.01,1445.41,1450.45,-5.04,1.2,1.4,1,1,3,0.6,2.2,0,2,3,0,0,0,0.0,0.0
2023-10-07,Burnley,Chelsea,1,4,A,4.63,3.92,1.76,1.8,2.04,1449.65,1486.57,-36.92,1.0,2.0,1,1,3,1.0,0.4,2,1,2,0,0,0,0.0,0.0
2023-10-07,Luton,Tottenham,0,1,A,6.46,4.79,1.48,1.55,2.46,1444.13,1568.99,-124.86,1.0,1.4,1,1,3,2.6,1.2,4,1,0,0,0,0,0.0,0.0
2023-10-07,Fulham,Sheffield United,3,1,H,1.64,3.96,5.69,1.93,1.9,1484.77,1421.33,63.45,0.8,1.8,1,2,2,0.8,3.2,0,1,4,0,0,0,0.0,0.0
2023-10-08,Brighton,Liverpool,2,2,D,3.05,4.01,2.17,1.35,3.22,1536.89,1553.78,-16.89,2.2,2.4,3,0,2,2.4,1.0,4,0,1,0,0,0,0.0,0.0
2023-10-08,West Ham,Newcastle,2,2,D,3.32,3.72,2.13,1.72,2.15,1526.24,1514.39,11.85,1.8,1.6,3,0,2,2.6,1.0,3,0,2,0,0,0,0.0,0.0
2023-10-08,Wolves,Aston Villa,1,1,D,3.4,3.59,2.14,1.8,2.04,1479.32,1545.3,-65.98,1.4,1.6,2,1,2,2.6,1.2,4,0,1,0,0,0,0.0,0.0
2023-10-08,Arsenal,Man City,1,0,H,2.92,3.49,2.44,1.78,2.05,1565.39,1561.97,3.42,2.4,1.0,3,2,0,2.6,1.0,4,0,1,0,0,0,0.0,0.0
2023-10-21,Sheffield United,Man United,1,2,A,7.27,5.07,1.42,1.55,2.47,1409.04,1499.76,-90.73,0.8,3.4,0,1,4,1.0,1.6,2,0,3,0,0,0,0.0,0.0
2023-10-21,Nott'm Forest,Luton,2,2,D,1.69,3.82,5.33,2.03,1.8,1487.7,1434.3,53.41,0.6,0.8,1,3,1,0.8,1.2,1,1,3,0,0,0,0.0,0.0
2023-10-21,Chelsea,Arsenal,2,2,D,3.24,3.47,2.26,1.92,1.9,1499.98,1580.24,-80.26,1.2,0.6,2,1,2,2.2,0.6,4,1,0,0,0,0,0.0,0.0
2023-10-21,Man City,Brighton,2,1,H,1.41,5.36,6.83,1.37,3.09,1547.11,1537.62,9.49,2.2,1.0,3,0,2,2.4,2.2,3,1,1,0,0,0,0.0,0.0
2023-10-21,Newcastle,Crystal Palace,4,0,H,1.46,4.53,7.44,1.82,2.03,1514.9,1513.3,1.61,2.8,1.0,3,1,1,1.0,1.0,2,2,1,0,0,0,0.0,0.0
2023-10-21,Bournemouth,Wolves,1,2,A,2.41,3.48,2.95,1.82,2.02,1435.23,1482.13,-46.9,0.6,2.4,0,2,3,1.4,1.8,1,2,2,0,0,0,0.0,0.0
2023-10-21,Brentford,Burnley,3,0,H,1.83,3.74,4.4,1.92,1.92,1464.65,1436.23,28.42,1.0,1.8,0,2,3,0.8,1.8,1,1,3,0,0,0,0.0,0.0
2023-10-21,Liverpool,Everton,2,0,H,1.36,5.66,8.01,1.41,2.92,1553.05,1460.63,92.42,2.4,1.2,3,1,1,1.8,1.2,2,1,2,0,0,0,0.0,0.0
2023-10-22,Aston Villa,West Ham,4,1,H,1.9,3.86,3.88,1.58,2.39,1542.48,1525.73,16.75,2.2,1.2,3,1,1,1.6,1.8,2,1,2,0,0,0,0.0,0.0
2023-10-23,Tottenham,Fulham,2,0,H,1.51,4.7,5.99,1.51,2.55,1578.82,1497.07,81.76,2.4,1.2,4,1,0,1.0,1.6,2,1,2,0,0,0,0.0,0.0
2023-10-27,Crystal Palace,Tottenham,1,2,A,4.64,3.83,1.79,1.89,1.96,1498.37,1590.36,-91.99,0.4,1.4,1,2,2,1.8,0.8,4,1,0,0,0,0,0.0,0.0
2023-10-28,Chelsea,Brentford,0,2,A,1.65,4.1,5.31,1.81,2.04,1503.38,1478.43,24.96,1.6,0.8,2,2,1,1.2,1.4,1,1,3,0,0,0,0.0,0.0
2023-10-28,Arsenal,Sheffield United,5,0,H,1.13,9.61,21.6,1.36,3.13,1576.83,1397.87,178.97,2.0,0.8,3,2,0,0.6,3.4,0,0,5,0,0,0,0.0,0.0
