Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,HomeTeamElo,AwayTeamElo,EloDifference,Home_AvgGoalsScored,Home_AvgGoalsConceded,Home_Wins,Home_Draws,Home_Losses,Away_AvgGoalsScored,Away_AvgGoalsConceded,Away_Wins,Away_Draws,Away_Losses,HTH_HomeWins,HTH_AwayWins,HTH_Draws,HTH_AvgHomeGoals,HTH_AvgAwayGoals
2023-09-23 00:00:00,Union Berlin,Hoffenheim,0,2,A,2.12,3.67,3.36,1.79,2.05,1497.52,1529.38,-31.86,2.25,1.75,2,0,2,2.5,1.5,3,0,1,0,0,0,0.0,0.0
2023-09-23 00:00:00,Werder Bremen,FC Koln,2,1,H,2.54,3.62,2.68,1.71,2.17,1471.29,1459.97,11.32,1.5,2.25,1,0,3,0.75,1.75,0,1,3,0,0,0,0.0,0.0
2023-09-23 00:00:00,M'gladbach,RB Leipzig,0,1,A,5.07,4.69,1.58,1.4,2.96,1471.93,1531.1,-59.17,2.0,3.0,0,2,2,3.25,1.0,3,0,1,0,0,0,0.0,0.0
2023-09-23 00:00:00,Dortmund,Wolfsburg,1,0,H,1.69,4.39,4.46,1.43,2.86,1526.86,1527.47,-0.62,2.0,1.25,2,2,0,1.75,1.25,3,0,1,0,0,0,0.0,0.0
2023-09-23 00:00:00,Bayern Munich,Bochum,7,0,H,1.1,11.34,20.92,1.21,4.41,1542.45,1487.37,55.08,2.75,1.0,3,1,0,1.0,2.25,0,3,1,0,0,0,0.0,0.0
2023-09-23 00:00:00,Augsburg,Mainz,2,1,H,2.59,3.63,2.62,1.68,2.22,1472.04,1457.55,14.49,1.75,3.0,0,2,2,0.75,3.0,0,1,3,0,0,0,0.0,0.0
2023-09-24 00:00:00,Leverkusen,Heidenheim,4,1,H,1.23,6.98,11.42,1.34,3.3,1541.9,1487.53,54.37,3.25,1.25,3,1,0,2.0,2.25,1,1,2,0,0,0,0.0,0.0
2023-09-24 00:00:00,Ein Frankfurt,Freiburg,0,0,D,2.09,3.63,3.44,1.83,2.0,1510.78,1497.39,13.39,1.0,0.75,1,3,0,1.25,2.5,2,0,2,0,0,0,0.0,0.0
2023-09-29 00:00:00,Hoffenheim,Dortmund,1,3,A,3.11,4.13,2.11,1.38,3.04,1543.01,1541.88,1.13,2.4,1.2,4,0,1,1.8,1.0,3,2,0,0,0,0,0.0,0.0
2023-09-30 00:00:00,Bochum,M'gladbach,1,3,A,2.33,3.79,2.88,1.56,2.44,1474.73,1459.46,15.27,0.8,3.2,0,3,2,1.6,2.6,0,2,3,0,0,0,0.0,0.0
2023-09-30 00:00:00,FC Koln,Stuttgart,0,2,A,2.85,3.65,2.42,1.69,2.2,1445.46,1540.17,-94.71,0.8,1.8,0,1,4,3.4,1.4,4,0,1,0,0,0,0.0,0.0
